Output from MATLAB Chinchilla Program
Version 22; All tests for AM cohort 2 (AEH 20 May 2014)

Date: 2020/07/15
Time: 13:22
Chinchilla ID: Q334
Weight: 514
%FFW: 102.20 %

17:39:39 Trial: 1; Stim: 1; 4kHz80dBT_999dBAM_NN_n6dBSNR2f 500 4kHz80dBT_999dBAM_NN_n6dBSNR2f 3 Ab 2299 A1: 15.0 A2: 15.0
17:39:49 Trial: 1; Stim: 1; 4kHz80dBT_999dBAM_NN_n6dBSNR2f 500 4kHz80dBT_999dBAM_NN_n6dBSNR2f 3 FA 4560 A1: 15.0 A2: 15.0
17:40:02 Trial: 1; Stim: 2; 4kHz80dBT_999dBAM_NN_n2dBSNR2f 500 4kHz80dBT_999dBAM_NN_n2dBSNR2f 4 Ab  337 A1: 15.0 A2: 15.0
17:40:05 Trial: 1; Stim: 2; 4kHz80dBT_999dBAM_NN_n2dBSNR2f 500 4kHz80dBT_999dBAM_NN_n2dBSNR2f 4 Ab 1265 A1: 15.0 A2: 15.0
17:41:40 Trial: 1; Stim: 2; 4kHz80dBT_999dBAM_NN_n2dBSNR2f 500 4kHz80dBT_999dBAM_NN_n2dBSNR2f 4 Ab   66 A1: 15.0 A2: 15.0
17:41:45 Trial: 1; Stim: 2; 4kHz80dBT_999dBAM_NN_n2dBSNR2f 500 4kHz80dBT_999dBAM_NN_n2dBSNR2f 4 Ab 2440 A1: 15.0 A2: 15.0
17:42:02 Trial: 1; Stim: 2; 4kHz80dBT_999dBAM_NN_n2dBSNR2f 500 4kHz80dBT_999dBAM_NN_n2dBSNR2f 4 CR 8288 A1: 15.0 A2: 15.0
17:42:12 Trial: 1; Stim: 3; 4kHz80dBT_999dBAM_NN_0dBSNR2f 500 4kHz64hzAM80dBT_6dBAM_NN_0dBSNR2f 3 Ht 4297 A1: 15.0 A2: 15.0
17:42:15 Trial: 1; Stim: 4; 4kHz80dBT_999dBAM_NN_n6dBSNR2f 500 4kHz64hzAM80dBT_6dBAM_NN_n6dBSNR2f 2 Ht 2648 A1: 15.0 A2: 15.0
17:42:21 Trial: 1; Stim: 5; 4kHz80dBT_999dBAM_NN_2dBSNR2f 500 4kHz80dBT_999dBAM_NN_2dBSNR2f 4 Ab 3393 A1: 15.0 A2: 15.0
17:42:25 Trial: 1; Stim: 5; 4kHz80dBT_999dBAM_NN_2dBSNR2f 500 4kHz80dBT_999dBAM_NN_2dBSNR2f 4 Ab 1615 A1: 15.0 A2: 15.0
17:42:36 Trial: 1; Stim: 5; 4kHz80dBT_999dBAM_NN_2dBSNR2f 500 4kHz80dBT_999dBAM_NN_2dBSNR2f 4 Ab    0 A1: 15.0 A2: 15.0
17:42:41 Trial: 1; Stim: 5; 4kHz80dBT_999dBAM_NN_2dBSNR2f 500 4kHz80dBT_999dBAM_NN_2dBSNR2f 4 Ab 3345 A1: 15.0 A2: 15.0
17:42:54 Trial: 1; Stim: 5; 4kHz80dBT_999dBAM_NN_2dBSNR2f 500 4kHz80dBT_999dBAM_NN_2dBSNR2f 4 CR 8287 A1: 15.0 A2: 15.0
17:43:04 Trial: 1; Stim: 6; 4kHz80dBT_999dBAM_NN_n10dBSNR2f 500 4kHz64hzAM80dBT_6dBAM_NN_n10dBSNR2f 7 Ab 6430 A1: 15.0 A2: 15.0
17:43:22 Trial: 1; Stim: 6; 4kHz80dBT_999dBAM_NN_n10dBSNR2f 500 4kHz64hzAM80dBT_6dBAM_NN_n10dBSNR2f 7 Ms 11294 A1: 15.0 A2: 15.0
17:43:37 Trial: 1; Stim: 7; 4kHz80dBT_999dBAM_NN_0dBSNR2f 500 4kHz80dBT_999dBAM_NN_0dBSNR2f 7 FA 7401 A1: 15.0 A2: 15.0
17:43:46 Trial: 1; Stim: 8; 4kHz80dBT_999dBAM_NN_n2dBSNR2f 500 4kHz64hzAM80dBT_6dBAM_NN_n2dBSNR2f 6 Ht 6441 A1: 15.0 A2: 15.0
17:43:50 Trial: 1; Stim: 9; 4kHz80dBT_999dBAM_NN_n4dBSNR2f 500 4kHz64hzAM80dBT_6dBAM_NN_n4dBSNR2f 5 Ab   80 A1: 15.0 A2: 15.0
17:44:00 Trial: 1; Stim: 9; 4kHz80dBT_999dBAM_NN_n4dBSNR2f 500 4kHz64hzAM80dBT_6dBAM_NN_n4dBSNR2f 5 Ht 5554 A1: 15.0 A2: 15.0
17:44:05 Trial: 1; Stim: 10; 4kHz80dBT_999dBAM_NN_n12dBSNR2f 500 4kHz80dBT_999dBAM_NN_n12dBSNR2f 4 Ab 3695 A1: 15.0 A2: 15.0
17:44:08 Trial: 1; Stim: 10; 4kHz80dBT_999dBAM_NN_n12dBSNR2f 500 4kHz80dBT_999dBAM_NN_n12dBSNR2f 4 Ab  373 A1: 15.0 A2: 15.0
17:44:39 Trial: 1; Stim: 10; 4kHz80dBT_999dBAM_NN_n12dBSNR2f 500 4kHz80dBT_999dBAM_NN_n12dBSNR2f 4 FA 7474 A1: 15.0 A2: 15.0
17:44:49 Trial: 1; Stim: 11; 4kHz80dBT_999dBAM_NN_6dBSNR2f 500 4kHz80dBT_999dBAM_NN_6dBSNR2f 6 Ab 5381 A1: 15.0 A2: 15.0
